Total_Time,Score,Distance,Walls_Hit,Opponent_Hit,Owntail_Hit,Other_Hit,Turns_Cornering,Cummulated_Low_Corner_Dist,Cummulated_Low_Corners,low corner dist,Right_Corners,Left_Corners,Turns_With_Useless_Keys,Keys_Released,scorePerDist,turnsperdist,rightminusleft,class
97,-62.90721649,1.453608247,0.319587629,0,0,0,0.350515464,0.010309278,0.010309278,1,0.134020619,0.216494845,0.134020619,0.020618557,-43.27659574,0.241134752,0.082474226,0
144,-57.32638889,2.375,0.326388889,0,0,0,0.354166667,0.340277778,0.020833333,16.33333361,0.215277778,0.138888889,0.118055556,0.041666667,-24.1374269,0.149122807,0.076388889,0
479,1.837160752,1.603340292,0,0,0.006263048,0,0.30480167,0.701461378,0.027139875,25.8461536,0.025052192,0.279749478,0.087682672,0.096033403,1.145833333,0.190104167,0.254697286,0
125,-48.592,0.976,0.248,0,0,0,0.368,0.216,0.032,6.75,0.2,0.168,0.16,0.032,-49.78688525,0.37704918,0.032,0
217,-22.95852535,1.875576037,0.115207373,0,0.004608295,0,0.534562212,0.437788018,0.02764977,15.83333308,0.290322581,0.244239631,0.082949309,0.055299539,-12.24078624,0.285012285,0.04608295,0
120,-92.325,1.55,0.508333333,0,0,0,0.15,0.058333333,0.008333333,7.00000024,0.075,0.075,0.633333333,0.008333333,-59.56451613,0.096774194,0,0
178,-59.66853933,1.640449438,0.292134831,0.005617978,0,0.005617978,0.078651685,0.56741573,0.033707865,16.83333341,0.039325843,0.039325843,0.449438202,0.078651685,-36.37328767,0.047945205,0,0
849,14.66431095,2.138987044,0,0,0.002355713,0,0.03180212,0.440518257,0.012956419,34.00000085,0.017667845,0.014134276,0.10836278,0.037691402,6.855726872,0.014867841,0.003533569,1
961,9.117585848,1.603537981,0.002081165,0.004162331,0,0,0.13735692,0.481789802,0.015608741,30.86666644,0.066597294,0.070759625,0.154006243,0.023933403,5.685918235,0.085658663,0.004162331,2
822,-2.891727494,1.981751825,0.049878345,0.00243309,0.003649635,0,0.366180049,0.433090024,0.015815085,27.38461564,0.182481752,0.183698297,0.063260341,0.03892944,-1.459177409,0.184775936,0.001216545,3
628,7.052547771,1.472929936,0,0,0.001592357,0,0.02388535,0.449044586,0.015923567,28.19999979,0.015923567,0.007961783,0.170382166,0.02866242,4.788108108,0.016216216,0.007961784,3
850,-2.998823529,1.454117647,0.018823529,0,0.001176471,0,0.245882353,0.202352941,0.007058824,28.66666473,0.130588235,0.115294118,0.144705882,0.016470588,-2.062297735,0.169093851,0.015294117,3
